index,balance
200,1818.9781768609776
201,1835.142585261927
202,1833.365505673131
203,1815.0318506163999
204,1851.332487628728
205,1874.107370306726
206,1892.8484440097932
207,1873.9199595696953
208,1899.007959028408
209,1880.017879438124
210,1873.303529868702
211,1910.769600466076
212,1948.9849924753976
213,1929.4951425506435
214,1910.200191125137
215,1891.0981892138857
216,1872.1872073217469
217,1867.6939580241751
218,1864.8243884992644
219,1846.1761446142718
220,1827.7143831681292
221,1825.444031968304
222,1815.0856983915533
223,1796.9348414076378
224,1808.4379470211954
225,1815.5380498155064
226,1811.383087114436
227,1811.4890159499396
228,1875.10654073432
229,1864.503511649581
230,1858.310230754241
231,1868.4546295984574
232,1849.7700833024728
233,1885.0838758019217
234,1970.7962832798032
235,1970.9839781639248
236,1951.2741383822856
237,1958.9670927439543
238,1965.6812944731162
239,2004.9949203625786
240,1998.5579568846015
241,2008.357835669326
242,1988.2742573126327
243,2033.318346681852
244,2012.9851632150335
245,2069.746663456858
246,2049.0491968222896
247,2028.5587048540667
248,2028.935760375415
249,2008.6464027716609
250,2065.1473610652365
251,2062.316226547979
252,2048.7672885479833
253,2029.8978239581124
254,2080.645269557074
255,2332.9235084910465
256,2309.594273406136
257,2299.548929638671
258,2299.816630328966
259,2285.816595835939
260,2277.9808838460067
261,2255.2010750075465
262,2232.649064257471
263,2231.9097764878493
264,2222.3555006682227
265,2200.1319456615406
266,2178.130626204925
267,2156.349319942876
268,2134.785826743447
269,2177.481543278316
270,2155.706727845533
271,2155.9346038209924
272,2141.7663319940593
273,2120.348668674119
274,2099.145181987378
275,2091.3127859254573
276,2091.777522100107
277,2092.086956644796
278,2071.166087078348
279,2112.589408819915
280,2133.715302908114
281,2112.378149879033
282,2113.3337495182645
283,2106.1263034308736
284,2096.5572147255166
285,2096.9269779027163
286,2075.957708123689
287,2076.535969323723
288,2068.5742508836483
289,2047.8885083748119
290,2053.057935677505
291,2082.790645903504
292,2061.9627394444688
293,2062.944626463251
294,2042.3151801986185
295,2021.8920283966322
296,2008.5548490526912
297,2034.701124145098
298,2040.4513664524645
299,2020.0468527879398
