direction,open_time,entry_price,initial_stop_loss,stop_loss,tp1,tp2,tp3,risk_percent,score,reasons,nearest_high_above,nearest_high_below,nearest_low_above,nearest_low_below,breakeven_active,breakeven_time,tp1_hit,tp1_time,tp2_hit,tp2_time,tp3_hit,tp3_time,max_profit_lock_level,candles_in_trade,close_time,close_price,close_reason,rr,result_percent,balance_before,balance_after
BUY,2025-09-04 04:45:00+00:00,3547.98,3532.37,3532.37,3563.59,3579.2000000000003,3594.8100000000004,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,SWING_HIGH price=3540.19 zone=(3540.19-3540.19) touches=1 strength=1,None,SWING_LOW price=3532.37 zone=(3532.37-3532.37) touches=1 strength=1,False,,False,,False,,False,,0,3,2025-09-04 05:30:00+00:00,3537.75,EXIT SIGNAL,-0.6553491351697588,-0.6553491351697588,7313.456895836349,7265.528219318472
BUY,2025-09-04 12:15:00+00:00,3543.65,3524.38,3524.38,3562.92,3582.19,3601.46,1.0,90,"['H4 bullish context', 'H1 bullish trend', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=3540.19 zone=(3540.19-3540.19) touches=1 strength=1,SWING_HIGH price=3508.72 zone=(3508.72-3508.72) touches=1 strength=1,None,SWING_LOW price=3532.37 zone=(3532.37-3532.37) touches=1 strength=1,False,,False,,False,,False,,0,21,2025-09-04 17:30:00+00:00,3545.15,EXIT SIGNAL,0.07784120394395441,0.07784120394395441,7265.528219318472,7271.183793957278
BUY,2025-09-04 19:00:00+00:00,3552.77,3536.49,3536.49,3569.05,3585.3300000000004,3601.6100000000006,1.0,90,"['H4 bullish context', 'H1 bullish trend', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=3558.81 zone=(3558.81-3558.81) touches=1 strength=1,SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,None,SWING_LOW price=3536.49 zone=(3536.49-3536.49) touches=1 strength=1,False,,False,,False,,False,,0,8,2025-09-04 21:00:00+00:00,3543.55,EXIT SIGNAL,-0.5663390663390471,-0.5663390663390471,7271.183793957278,7230.0042395467835
BUY,2025-09-04 23:15:00+00:00,3549.55,3535.08,3535.08,3564.0200000000004,3578.4900000000007,3592.960000000001,1.0,90,"['H4 bullish context', 'H1 bullish trend', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,SWING_HIGH price=3540.19 zone=(3540.19-3540.19) touches=1 strength=1,None,SWING_LOW price=3536.49 zone=(3536.49-3536.49) touches=1 strength=1,False,,False,,False,,False,,0,3,2025-09-05 01:00:00+00:00,3540.59,EXIT SIGNAL,-0.6192121630960524,-0.6192121630960524,7230.0042395467835,7185.23517390315
BUY,2025-09-05 03:15:00+00:00,3550.92,3539.81,3539.81,3562.03,3573.1400000000003,3584.2500000000005,1.0,90,"['H4 bullish context', 'H1 bullish trend', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=3556.08 zone=(3556.08-3556.08) touches=1 strength=1,SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,None,SWING_LOW price=3539.81 zone=(3539.81-3539.81) touches=1 strength=1,False,,False,,False,,False,,0,24,2025-09-05 09:15:00+00:00,3551.36,EXIT SIGNAL,0.03960396039604406,0.03960396039604406,7185.23517390315,7188.080811595785
BUY,2025-09-05 10:15:00+00:00,3550.31,3546.13,3546.13,3554.49,3558.6699999999996,3562.8499999999995,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3556.08 zone=(3556.08-3556.08) touches=1 strength=1,SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,None,SWING_LOW price=3546.13 zone=(3546.13-3546.13) touches=1 strength=1,False,,False,,False,,False,,0,3,2025-09-05 11:00:00+00:00,3546.92,EXIT SIGNAL,-0.8110047846889965,-0.8110047846889965,7188.080811595785,7129.785132286432
BUY,2025-09-05 11:15:00+00:00,3546.92,3546.13,3548.5,3547.71,3548.5,3549.29,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,SWING_HIGH price=3540.19 zone=(3540.19-3540.19) touches=1 strength=1,SWING_LOW price=3546.13 zone=(3546.13-3546.13) touches=1 strength=1,SWING_LOW price=3539.81 zone=(3539.81-3539.81) touches=1 strength=1,True,2025-09-05 11:30:00+00:00,True,2025-09-05 11:30:00+00:00,True,2025-09-05 11:30:00+00:00,True,2025-09-05 11:30:00+00:00,2,1,2025-09-05 11:30:00+00:00,3548.71,EXIT SIGNAL,2.265822784810185,2.265822784810185,7129.785132286432,7291.333428321786
BUY,2025-09-05 11:45:00+00:00,3548.71,3546.13,3546.13,3551.29,3553.87,3556.45,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,SWING_HIGH price=3540.19 zone=(3540.19-3540.19) touches=1 strength=1,SWING_LOW price=3546.13 zone=(3546.13-3546.13) touches=1 strength=1,SWING_LOW price=3539.81 zone=(3539.81-3539.81) touches=1 strength=1,False,,False,,False,,False,,0,1,2025-09-05 12:00:00+00:00,3546.13,STOP LOSS,-1.0,-1.0,7291.333428321786,7218.420094038568
BUY,2025-09-05 12:15:00+00:00,3549.06,3546.13,3551.99,3551.99,3554.9199999999996,3557.8499999999995,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3556.08 zone=(3556.08-3556.08) touches=1 strength=1,SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,None,SWING_LOW price=3546.13 zone=(3546.13-3546.13) touches=1 strength=1,True,2025-09-05 12:45:00+00:00,True,2025-09-05 12:45:00+00:00,True,2025-09-05 14:00:00+00:00,False,,1,8,2025-09-05 14:15:00+00:00,3551.99,PROFIT LOCK TP1,1.0,1.0,7218.420094038568,7290.6042949789535
BUY,2025-09-05 14:45:00+00:00,3551.51,3544.76,3565.01,3558.26,3565.01,3571.76,1.0,90,"['H4 bullish context', 'H1 bullish trend', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=3556.08 zone=(3556.08-3556.08) touches=1 strength=1,SWING_HIGH price=3546.85 zone=(3546.85-3546.85) touches=1 strength=1,None,SWING_LOW price=3546.13 zone=(3546.13-3546.13) touches=1 strength=1,True,2025-09-05 15:30:00+00:00,True,2025-09-05 15:30:00+00:00,True,2025-09-05 15:30:00+00:00,True,2025-09-05 15:30:00+00:00,2,59,2025-09-08 06:30:00+00:00,3584.15,EXIT SIGNAL,4.835555555555537,4.835555555555537,7290.6042949789535,7643.145515998378
BUY,2025-09-08 06:45:00+00:00,3584.15,3578.53,3578.53,3589.77,3595.39,3601.0099999999998,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3596.78 zone=(3596.78-3596.78) touches=1 strength=1,SWING_HIGH price=3578.47 zone=(3578.47-3578.47) touches=1 strength=1,None,SWING_LOW price=3578.53 zone=(3578.53-3578.53) touches=1 strength=1,False,,False,,False,,False,,0,3,2025-09-08 07:30:00+00:00,3581.5,EXIT SIGNAL,-0.47153024911034563,-0.47153024911034563,7643.145515998378,7607.105772906925
BUY,2025-09-08 07:45:00+00:00,3581.5,3578.53,3584.47,3584.47,3587.4399999999996,3590.4099999999994,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3596.78 zone=(3596.78-3596.78) touches=1 strength=1,SWING_HIGH price=3578.47 zone=(3578.47-3578.47) touches=1 strength=1,None,SWING_LOW price=3578.53 zone=(3578.53-3578.53) touches=1 strength=1,True,2025-09-08 08:30:00+00:00,True,2025-09-08 08:30:00+00:00,True,2025-09-08 08:30:00+00:00,False,,1,3,2025-09-08 08:30:00+00:00,3587.34,EXIT SIGNAL,1.966329966330148,1.966329966330148,7607.105772906925,7756.686573290025
BUY,2025-09-08 08:45:00+00:00,3587.34,3578.53,3604.96,3596.15,3604.96,3613.77,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3596.78 zone=(3596.78-3596.78) touches=1 strength=1,SWING_HIGH price=3578.47 zone=(3578.47-3578.47) touches=1 strength=1,None,SWING_LOW price=3578.53 zone=(3578.53-3578.53) touches=1 strength=1,True,2025-09-08 09:30:00+00:00,True,2025-09-08 09:30:00+00:00,True,2025-09-08 10:15:00+00:00,True,2025-09-08 11:15:00+00:00,2,95,2025-09-09 09:30:00+00:00,3649.66,EXIT SIGNAL,7.073779795686731,7.073779795686731,7756.686573290025,8305.37750092616
BUY,2025-09-09 11:15:00+00:00,3642.85,3636.59,3649.1099999999997,3649.1099999999997,3655.3699999999994,3661.629999999999,1.0,75,"['H4 bullish context', 'H1 bullish trend', 'H1 bullish structure', 'Distance filter OK']",SWING_HIGH price=3659.31 zone=(3659.31-3659.31) touches=1 strength=1,SWING_HIGH price=3646.35 zone=(3646.35-3646.35) touches=1 strength=1,None,SWING_LOW price=3636.59 zone=(3636.59-3636.59) touches=1 strength=1,True,2025-09-09 11:30:00+00:00,True,2025-09-09 11:30:00+00:00,True,2025-09-09 12:00:00+00:00,False,,1,10,2025-09-09 13:45:00+00:00,3649.1099999999997,PROFIT LOCK TP1,1.0,1.0,8305.37750092616,8388.431275935422
